distance-to-solar-noon,humidity,sky-cover,average-wind-speed-(period),wind-direction,average-pressure-(period)
0.859897172,75.0,0,8.0,28,29.82
0.628534704,77.0,0,5.0,28,29.85
0.397172237,70.0,0,0.0,28,29.89
0.165809769,36.5,0,0.0,28,29.91
0.065552699,36.5,0,3.0,28,29.89
0.296915167,36.5,0,23.0,28,29.85
0.528277635,36.5,0,15.0,28,29.83
0.759640103,49.0,0,6.0,28,29.86
0.8621134020000001,67.0,0,6.0,29,29.86
0.630154639,49.0,0,0.0,29,29.87
0.398195876,54.0,0,0.0,29,29.9
0.166237113,64.0,0,0.0,29,29.92
0.065721649,36.5,0,9.0,29,29.88
0.297680412,36.5,0,18.0,29,29.84
0.529639175,65.0,0,11.0,29,29.84
0.761597938,75.0,0,5.0,29,29.85
0.86545925,72.0,0,6.0,29,29.84
0.6326002589999999,78.0,0,6.0,29,29.86
0.399741268,63.0,0,0.0,29,29.88
0.166882277,69.0,0,3.0,29,29.88
0.065976714,36.5,0,10.0,29,29.84
0.298835705,36.5,0,20.0,29,29.81
0.531694696,53.0,0,14.0,29,29.81
0.764553687,70.0,0,6.0,29,29.85
0.86770428,73.0,0,0.0,30,29.83
0.634241245,78.0,0,6.0,30,29.82
0.40077821,70.0,0,0.0,30,29.84
0.167315175,64.0,0,3.0,30,29.85
0.06614786,62.0,0,6.0,30,29.79
0.299610895,36.5,0,15.0,30,29.75
0.53307393,36.5,0,17.0,30,29.74
0.766536965,36.5,0,5.0,30,29.77
0.869791667,53.0,0,3.0,29,29.77
0.635416667,70.0,0,7.0,29,29.76
0.4010416670000001,61.0,0,0.0,29,29.8
0.166666667,64.0,0,3.0,29,29.82
0.067708333,49.0,0,5.0,29,29.78
0.302083333,36.5,0,22.0,29,29.75
0.536458333,51.0,0,15.0,29,29.76
0.770833333,37.0,0,8.0,29,29.79
0.870925684,57.0,1,6.0,30,29.78
0.636245111,73.0,1,3.0,30,29.78
0.4015645370000001,52.0,1,3.0,30,29.81
0.166883963,66.0,1,3.0,30,29.82
0.06779661,36.5,0,16.0,30,29.79
0.302477184,39.0,0,18.0,30,29.75
0.537157757,57.0,0,14.0,30,29.74
0.771838331,65.0,0,8.0,30,29.76
0.8730366490000001,81.0,1,8.0,29,29.76
0.637434555,87.0,1,7.0,29,29.74
0.401832461,84.0,1,8.0,29,29.76
0.166230366,68.0,1,14.0,29,29.77
0.069371728,61.0,1,22.0,29,29.73
0.304973822,70.0,1,25.0,29,29.71
0.540575916,87.0,1,22.0,29,29.73
0.77617801,90.0,1,13.0,29,29.75
0.8753280840000001,90.0,3,7.0,31,29.76
